Date,Close,BTC_Close(t-1),BTC_Close(t-2),BTC_Close(t-3),BTC_Close(t-4),BTC_Close(t-5),BTC_Close(t-6),BTC_Close(t-7),Gold,Silver,Oil,Gas,FedFunds
2014-09-24,0.003361918319098154,0.0035345529806254526,0.003073147125455131,0.003027457865273217,0.0031657600720972593,0.002972248997623991,0.0033788582977541492,0.0038300459162749,0.10363778762221554,0.2886174579778854,0.8084671525666827,0.2962917696545654,0.02053915202394747
2014-09-25,0.00320238305938609,0.003361918319098154,0.0035345529806254526,0.003073147125455131,0.003027457865273217,0.0031657600720972593,0.002972248997623991,0.0033788582977541492,0.1052436030883167,0.2757205400041641,0.8067935377660826,0.3036106206544613,0.020172381381945017
2014-09-26,0.003104324237572484,0.00320238305938609,0.003361918319098154,0.0035345529806254526,0.003073147125455131,0.003027457865273217,0.0031657600720972593,0.002972248997623991,0.10085846552529298,0.28050801251731183,0.8130540110112883,0.30519637461269156,0.020172381381945017
2014-09-27,0.0030370452845604966,0.003104324237572484,0.00320238305938609,0.003361918319098154,0.0035345529806254526,0.003073147125455131,0.003027457865273217,0.0031657600720972593,0.10155844796855817,0.2811431120239217,0.8151821516587423,0.3121086227792599,0.020172381381945017
2014-09-28,0.0027306346458962553,0.0030370452845604966,0.003104324237572484,0.00320238305938609,0.003361918319098154,0.0035345529806254526,0.003073147125455131,0.003027457865273217,0.10225843041182325,0.2817782115305315,0.8173102923061963,0.3190208709458282,0.020172381381945017
2014-09-29,0.002707124873941542,0.0027306346458962553,0.0030370452845604966,0.003104324237572484,0.00320238305938609,0.003361918319098154,0.0035345529806254526,0.003073147125455131,0.10295841285508855,0.2824133110371414,0.8194384329536504,0.32593311911239653,0.020172381381945017
2014-09-30,0.0028645479210390582,0.002707124873941542,0.0027306346458962553,0.0030370452845604966,0.003104324237572484,0.00320238305938609,0.003361918319098154,0.0035345529806254526,0.09863502292654236,0.25749879346468074,0.7983016569377659,0.321907748154201,0.021639463779163964
2014-10-01,0.0028188858693034276,0.0028645479210390582,0.002707124873941542,0.0027306346458962553,0.0030370452845604966,0.003104324237572484,0.00320238305938609,0.003361918319098154,0.10116727909161771,0.2674645259514694,0.7956363106880734,0.3099536074048539,0.021639463779163964
2014-10-02,0.0027017066258078295,0.0028188858693034276,0.0028645479210390582,0.002707124873941542,0.0027306346458962553,0.0030370452845604966,0.003104324237572484,0.00320238305938609,0.10092021315977051,0.257254481418564,0.7973718761919452,0.2988533587797704,0.021089307816160287
2014-10-03,0.002488279387246652,0.0027017066258078295,0.0028188858693034276,0.0028645479210390582,0.002707124873941542,0.0027306346458962553,0.0030370452845604966,0.003104324237572484,0.08733241624148258,0.24645825569491886,0.7894997861400245,0.3119053359038605,0.021089307816160287
