Date,Open,High,Low,Close,Adj Close,Volume
2019-10-28,404.70001220703125,409.3999938964844,397.5,399.0,399.0,255
2019-10-29,395.1000061035156,405.5,394.5,402.6000061035156,402.6000061035156,185
2019-10-30,400.8999938964844,406.20001220703125,395.0,395.0,395.0,270
2019-10-31,394.79998779296875,399.3999938964844,394.79998779296875,396.20001220703125,396.20001220703125,213
2019-11-01,397.29998779296875,405.70001220703125,396.0,404.1000061035156,404.1000061035156,156
2019-11-04,404.5,411.6000061035156,402.3999938964844,406.5,406.5,130
2019-11-05,404.29998779296875,405.29998779296875,388.79998779296875,394.29998779296875,394.29998779296875,281
2019-11-06,389.5,394.0,385.70001220703125,388.1000061035156,388.1000061035156,151
2019-11-07,393.5,393.5,382.79998779296875,386.0,386.0,90
2019-11-08,381.3999938964844,381.70001220703125,377.29998779296875,379.8999938964844,379.8999938964844,73
2019-11-11,376.29998779296875,379.8999938964844,375.0,377.0,377.0,49
2019-11-12,376.0,381.5,372.0,372.20001220703125,372.20001220703125,97
2019-11-13,370.0,373.1000061035156,369.0,372.6000061035156,372.6000061035156,71
2019-11-14,378.20001220703125,386.8999938964844,370.5,382.0,382.0,27
2019-11-15,380.0,383.8999938964844,374.20001220703125,375.70001220703125,375.70001220703125,243
2019-11-18,403.0,414.3999938964844,403.0,413.0,413.0,478
2019-11-19,417.20001220703125,421.5,408.29998779296875,413.3999938964844,413.3999938964844,419
2019-11-20,413.3999938964844,414.0,401.0,402.70001220703125,402.70001220703125,276
2019-11-21,402.8999938964844,413.0,402.8999938964844,408.20001220703125,408.20001220703125,231
2019-11-22,407.8999938964844,411.20001220703125,405.1000061035156,410.3999938964844,410.3999938964844,292
2019-11-25,409.8999938964844,427.70001220703125,408.0,421.29998779296875,421.29998779296875,810
2019-11-26,411.0,413.29998779296875,403.29998779296875,412.8999938964844,412.8999938964844,786
2019-11-27,411.6000061035156,423.0,409.20001220703125,416.1000061035156,416.1000061035156,345
2019-11-29,418.5,420.1000061035156,413.8999938964844,416.6000061035156,416.6000061035156,205
2019-12-02,410.0,414.3999938964844,406.0,409.0,409.0,322
2019-12-03,406.0,406.0,393.1000061035156,397.79998779296875,397.79998779296875,532
2019-12-04,401.0,403.79998779296875,395.20001220703125,400.70001220703125,400.70001220703125,288
2019-12-05,399.0,409.70001220703125,399.0,405.29998779296875,405.29998779296875,313
2019-12-06,407.70001220703125,412.3999938964844,404.5,406.1000061035156,406.1000061035156,197
2019-12-09,405.3999938964844,407.1000061035156,398.29998779296875,399.3999938964844,399.3999938964844,285
2019-12-10,397.1000061035156,399.20001220703125,391.0,392.70001220703125,392.70001220703125,500
2019-12-11,393.29998779296875,399.70001220703125,388.6000061035156,396.6000061035156,396.6000061035156,449
2019-12-12,396.79998779296875,403.1000061035156,396.20001220703125,397.79998779296875,397.79998779296875,345
2019-12-13,397.29998779296875,405.8999938964844,394.1000061035156,404.6000061035156,404.6000061035156,332
2019-12-16,405.0,413.8999938964844,403.8999938964844,410.79998779296875,410.79998779296875,441
2019-12-17,411.1000061035156,415.3999938964844,400.20001220703125,406.3999938964844,406.3999938964844,319
2019-12-18,408.5,408.70001220703125,403.1000061035156,406.79998779296875,406.79998779296875,189
2019-12-19,405.3999938964844,421.1000061035156,404.8999938964844,417.20001220703125,417.20001220703125,517
2019-12-20,417.29998779296875,418.6000061035156,411.3999938964844,413.29998779296875,413.29998779296875,303
2019-12-23,414.5,414.5,407.5,408.6000061035156,408.6000061035156,320
2019-12-24,410.3999938964844,410.3999938964844,405.8999938964844,406.79998779296875,406.79998779296875,73
2019-12-26,408.8999938964844,409.1000061035156,404.0,406.20001220703125,406.20001220703125,124
2019-12-27,405.70001220703125,410.0,404.3999938964844,409.1000061035156,409.1000061035156,136
2019-12-30,408.0,413.1000061035156,400.5,404.20001220703125,404.20001220703125,279
2019-12-31,406.8999938964844,408.0,399.5,405.29998779296875,405.29998779296875,265
2020-01-02,404.0,412.0,402.0,406.70001220703125,406.70001220703125,163
2020-01-03,406.0,409.1000061035156,402.8999938964844,403.6000061035156,403.6000061035156,115
2020-01-06,405.0,405.0,396.8999938964844,397.0,397.0,195
2020-01-07,393.20001220703125,400.0,393.0,395.3999938964844,395.3999938964844,113
2020-01-08,395.3999938964844,402.8999938964844,394.0,398.0,398.0,126
2020-01-09,400.1000061035156,401.6000061035156,387.29998779296875,391.1000061035156,391.1000061035156,93
2020-01-10,390.6000061035156,393.8999938964844,390.5,392.0,392.0,49
2020-01-13,394.70001220703125,395.0,389.0,393.6000061035156,393.6000061035156,31
2020-01-14,391.0,391.1000061035156,387.70001220703125,390.0,390.0,78
2020-01-15,390.0,398.0,388.5,388.6000061035156,388.6000061035156,442
2020-01-16,425.79998779296875,434.8999938964844,420.79998779296875,428.79998779296875,428.79998779296875,284
2020-01-17,438.0,444.3999938964844,429.1000061035156,430.0,430.0,643
2020-01-21,429.6000061035156,431.1000061035156,424.20001220703125,424.70001220703125,424.70001220703125,345
2020-01-22,425.8999938964844,432.70001220703125,423.79998779296875,425.20001220703125,425.20001220703125,230
2020-01-23,425.8999938964844,426.79998779296875,420.20001220703125,426.0,426.0,240
2020-01-24,425.29998779296875,432.29998779296875,425.29998779296875,426.20001220703125,426.20001220703125,315
